,Question,Answer
1681,I come home from  work  ,D Well  
1682, it is  ,C But  F um  D you know  I do think that maybe  well get a female next time and  just  had her  have her  spayed D you know   
1683, Right  laughter  ,  I  I  would hate  to be in a position  where that was all I could afford  
1684,I enjoy classical too  ,uhhuh  
1685,Yeah ,Noise
1686,C and  if he cant produce evidence ,It was real good talking to you 
1687, or  five  ,have all these people being tested  
1688,One of our favorite places here  in   in  the Dallas area is Atlantic Cafe  ,really they could move right into the spare room laughter 
1689, everything ,F Oh  yeah 
1690,good  ,Laughter Yeah  
1691,and I I even have a tendency to do that myself  ,I guess right now my criteria for cars is F uh   of   being solid able to take an impact laughter  
1692,really weird names D like  The Dead Milkman  ,I swear to God he works from eight 
1693,We weve had thirty some odd cars in our married life  ,C But  F uh  
1694, know what we would replace it with laughter , of credit cards 
1695,Ive heard about it  ,I can work seven  days in a row and take a week  off or whatever I want to do 
1696,Yeah ,it didnt take me very long to hot foot it over to the school 
1697,Bye ,D well  it wasnt the matter of wealth  
1698,Uhhuh ,Yeah laughter  
1699,Yeah , Yes  
1700,D You know  the Schnauzers are a little aggressive ,C But  F uh  I have in times past gotten  into a bit of trouble with credit cards
1701,C and   F uh  , We live  F um  D well  Im close  to Salt Lake  
1702,Laughter  Dont you like cats ,Yeah 
1703,Yeah ,Uhhuh 
1704,all the little,Uhhuh  
1705,yeah  ,Okay 
1706, and letting them know theyre loved and stuff , were  were  smarter now 
1707,Its a research type project on ,F Oh  yeah  
1708,C and I guess I would fall more in the  the realm that I like the sport issue of it  ,D Well  Im glad tha  
1709,I had absolutely no money to my name and  bought that  ,Yeah  
1710,breathing our house  when I  when I   was growing up there was almost never F uh  at least one cat in the house ,I think it has been F uh    four  three or four  years  Or  five even F uh  since they have  had it    tried to get everybody together  
1711,C but  throatclearing   they were  half have been professionals from   F uh  a lot of them are from  F uh  faculty at Penn State here ,C So  you need  
1712,I get tired F uh  sometimes mowing laughter because we mow D you know  a good bit of ground around the house area ,F Uh  the ammunition is probably so old Im afraid to use it  
1713,I sure hope so I tell you  ,C And  this time were going to be going with just one daughter  
1714,C and  thats  going to solve the whole problem ,Uhhuh  
1715,they know what they want  ,F Um   I   I  was taking a voice  I O class   and   F um  and  actually doing some research  
1716,Uhhuh , F Oh  they come up here  
1717,Yeah   F Um  ,C and   I dont  I never  get in them and just go to the shop  at you will D you know  
1718,We cant overlook the fact that there are innocent people that do get involved in jury trials ,C And  one of the things we discussed was  D you know      where our   where   the  budget situate   how   the budget situation  just got so out of hand 
1719,We  got our mo  got our money  back ,I have one theory  
1720,C so  Im ,F Oh  as a 
1721,All right  , Stanford or something like that 
1722,What kind of movies have you been seeing lately , C and  F uh  noise they had basically decided that there is going to be a real problem here within a few years on solid waste 
1723, she wishes  she was back at work ,F oh  I dont know  
1724,C because  you dont have to use so much water  ,Yeah  
1725,cant think of his name  ,C So   now the only time that got  to be a problem was if the exchange rate changed drastically 
1726, is come an  is come and  gone  ,All the way to North Carolina  
1727,I dont know whether I have any real profound thoughts about that  ,Yes  
1728, No   , because parents arent parents 
1729,weve been asked to look at  is   most criminal cases requiring an unanimous verdict  ,Uhhuh 
1730,yeah  ,Right  
1731,F Huh  ,What kind do you have now   
1732, what  would be more efficient about it  ,Then they diagnosed it  
1733,Seems like it wasnt anything but bad news laughter ,Shot a career low eightynine  C so   C and   my handicap is twenty nine 
1734,Im not sure how long were supposed to talk ,Hes  being helped  
1735, so she doesnt remember anybody  ,C but  I can  run my radio in my office  
1736,D Well  we have a funny commercial around here  ,Yeah  
1737,D You know  ,Uhhuh 
1738,she had some kind of fender thing going over the back tire I think ,Yeah  
1739, twenty years going from  ,It is  
1740,C and  I know  my  my  husbands uncle owns  di   some acreage in  a   Eastland Texas which is in West Texas  ,C but  I think F uh   were going to have to make some fundamental changes  
1741,C So  I think it is communication  ,C but  its running about seventy 
1742,F Uh  D you know  the character that F uh  James Earle Jones played ,C and  it was  
1743, and gotten a degree spent five years out in the work force found D you know    the  the   their  husband either at college or whatever  , Yeah  
1744,just started trying to get  them  something  together    l  l   like   like   that around here   from  for   from  the community because F uh  we had a big ice storm ,C and then  I use that for food household expenses  
1745,I like doing things with my hands , this  its  a big engineering school  
1746,No  ,F uh  thats  
1747,unless , C so  
1748,I was in Germany D you know  for several years  ,D well  thank you very much 
1749, I  I   tried to have   F um  laughter  figured something having        ,  C and so   it helps us gain interest in the bank  that   when we do it  
1750,F um  lets see they start F um   ,Yeah  
1751, we dont  D you know  I dont  ask for more  ,Whatd you do with them 
1752,Uhhuh  ,my  kid will do four or five hours this week for me  
1753, C and  theyre  cedar elm  ,C and  its shorting out here and there  
1754,training them would be insurmountable ,childtalking
1755,It just keeps growing and growing  , Yes  
1756,Yeah ,what kind of square footage 
1757, I think  ,Which its an all new cast  but kind of the same idea  going out to new places  and  and  doing new things and finding out about different people  
1758,It is F um   ,yes  
1759,Thats right ,  He  throatclearing he  F uh  gives reasonable prices 
1760, F uh  a gut level  reaction  ,Laughter
1761,C but  , its just not 
1762,Right ,C So   well have to  well have to  keep our eyes on all that I guess 
1763,D You know  I went to college  late on in life  , I  I  agree  
1764,as soon as you do it its really a release ,Service charge you mean 
1765,D Well  thats plenty  though  ,C but  I am going to stick with Downey because they were first 
1766,C So  F uh  I dont know if shes any farther ahead than those kids who started when they were eight  ,You know weve had a lot of the Jewish people  
1767,Right  ,F Oh  it sure is 
1768,F Uh  D well  I guess social  change takes in  a   a  big category  ,Its more of  a   D you know  a   smaller  inhaling smaller  unit  
1769,Thanks a lot ,D So  
1770,Yeah  ,C but  one thing that   to   to  me was F um  going on stretching it a little too far was that they also check  F um  if you are taking somebody elses prescription drug  
1771,C So  yeah  , applied 
1772,itd be good  ,F Um  F oh  its  a  D like  a  huge amusement park 
1773,C and  F uh  my husband  was   was   ,Yeah 
1774, started out  all men and then  in the nineteenth century began to have women   , we  we  all carry them  
1775, I saw  I saw  a guy  ,Its basically anything thats south of downtown they dont bother to cover 
1776,Uhhuh ,Such as offering  a  a  smorgasbord   Having a larger variety of benefits  
1777,Uhhuh ,I think one of the problems  with  with  education as it relates to this though is that I dont know that education is prepared to help people make those changes 
1778, C and  I dont know how many  others are doing that  ,C And  E I mean  I have some of the most beautiful day lilies that youve ever seen  
1779, carnival  or circus  ,seems like he went to school at D like  DeVry  
1780,C and  I was having my hair cut  ,C But  F uh   the    one of the major problems that Dallas has is oxides and nitrogen  
1781,and we were going to be meeting some of my wifes relatives down there  ,I said Were going to have a ham 
1782,Right  , You know its  
1783,  I have a lot of  friends that like country music laughter ,said he took me by the head and dunked my head under the water 
1784,C and  so   hes F uh  been the one that you know spent the most time with him ,    
1785, Uhhuh  ,you too  
1786,I see ,F Uh  I think they should have more programs like that 
1787, blow  horns F oh   ,They say what aspect are you worried about  
1788,Im still here  ,C So   were not utilizing  were    
1789,D Well  theres someone at the door  ,C and   F uh  I just wont do it  
1790, Yeah  ,C And  D you know   thats going to  thats going to  affect the people that are having kids in school of course which is probably the only fair thing to do  
1791, C and   noise ,F Oh  except the kid  
1792,On that same topic have you  ever read anything about D you know  the Amelia Earhart story whatever happened with her , thats    because    I   I  guess  because  Im not into territorialism or  whatever that we have been in the past 
1793,I guess they do that so they dont get scooped D you know   ,  F uh  never did get out and ski laughter 
1794,C So  Im going  ,C and  from that built D you know   a cash budget  
1795,C And  F uh  there I would say its the same thing  ,D like  a carbon fuel of some sort  
1796, Yes   ,C and  I had a chance to F uh  transfer up  
1797,Yeah ,F Oh  okay  
1798,F uh ,D Well  I thank you for calling  
1799,F Oh  I didnt hear it  ,Byebye 
1800,Yeah ,Yeah 
1801,theyll pay a little bit more ,laughter Yeah  
1802,C But  one day I was talking to a lady about gardening  ,  I  Ive   Ive  paid off about four credit cards this year 
1803,And theres theres a sad joke  ,Uhhuh 
1804,With our first boy we persuaded him to start here  ,Right 
1805,I read HOW TO GET THE JOB THAT YOU WANTED  ,F Oh  really 
1806,Im not that familiar  ,Havent been there  
1807, C and  its so simple because  I can pop it in when I come in the door D you know  and then F uh   go about my business  , I should  I should  have F um  delineated  
1808,Okay ,F Oh  if you had it early 
1809,Right  ,F Oh  thats a neat idea 
1810,D Well  Ill tell you the only reason  I bought the   F uh  I subscribe to the  JOURNAL is because of  ,C And   F uh  I have a little sports car that I enjoy using  
1811,I have seen my family age ,C and  my husbands parents were really avid campers as well  
1812,F Oh  really  ,C But  theyre doing a lot of  research here F uh  the E P A 
1813, C and  they have on the ba A its five cents  that they pay five cents   ,My motherinlaw finally  
1814, F Oh  he was ,Uhhuh 
1815,just some of them are known  ,I went to the gym every day  
1816, and  the nine hundred dollar toilet seats doesnt come from people in the industry  ,If you let them cook too long 
1817,C and  a lot of times well go to rent a movie or something  ,F Uh  D well  noise about a day day and a half in the crock pot F uh  
1818,Yeah  ,F Uh  they ate dinner at the table together  
1819,Okay ,I think theres D like  twentysix different languages now  that are spoken in  I  the I S D  Dallas Innercity School District 
1820,one lives in Connecticut  ,I tape it 
1821,like  when my sister was real bad before she died ,Uhhuh 
1822, I  I  read it  ,Lets see  
1823,Uhhuh ,Uhhuh 
1824,C But  F uh  C and then  theres a new  sitcom on that is Tim Allens F uh  A what is it   F uh  HANDYMAN  ,D like  air attacks and stuff like that dropped off like crazy 
1825,F Oh   its  its  really good  ,Yes 
1826,F uh  already grown  ,  soci  social  morals were a  little bit lacking 
1827,beat them  and they wouldnt come forward  , C And    F uh  C and    I think the people were smart enough to realize that  
1828, C But  really   C but   huge sharks ,C but  they didnt have the money to restructure  
1829,C and  they found him guilty  ,D Well  thats good 
1830,Right  ,C And  every time  a   a   fire truck or anything went down the road I would wake up  
1831,  C And    C but     C and   his accuracy is whats so startling with it  , C and  Ill order steak or steak and lobster combined  
1832,F Oh  yeah  ,I sure do like the looks of that new  Mit  Mitsubishi  Diamante 
1833, back and forth  , C and  I  C and  I  got F uh  chicken marinara the last two times 
1834,C Because  theyre coming  from  D you know  from  the slash and  burn intercultural society D you know   ,C and  I think F uh  thats making Gorbachev and others realize that D hey  maybe this Communist thing isnt working 
1835,D Like  we  ,C and   the kind of loan we got you really didnt have to put down anything 
1836,C so  we can D you know   ,You know  
1837,That would be lovely , being anticrime  
1838,Yeah  ,Just hang up  
1839,thats  the same manufacturer  ,Uhhuh 
1840,C or  do you have powered D you know   a    ,Yes  
1841,its just that  trying to  trying to  get what you need  out of  out of  what you have  ,Dont you have to spend the minimum of two three hundred 
1842,Big boom ,F Um   there      E I mean   E I mean     were  have  to be  
1843,He needs your vote just like he needs everybody elses  D you know   ,up around the Keystone  and Copper Mountain those guys will love that  
1844,I know how we       and   straighten up all these twisted people before they do something terrible ,F Uh     some people just   F uh  Ive heard some people just  talking in our group of friends that they just feel its an invasion of privacy and things like that  
1845,Yeah ,  I am  I work   at  for  the Air Force 
1846,Yeah ,Man  
1847,  and or SPORTS ILLUSTRATED  ,D Well  Ill be looking for it then 
1848,F Um  D well  I dont know if you know  ,D you know   
1849,C and    F uh  they  try to  tend to try to    do  outdo   each other with raciness I think ,Lipsmack C But  from talking to people  in other districts there are some major problems F uh  with dropouts  
1850,I have some friends who go out every single weekend,C And  F um  I like to read books on improve like family marriage D you know  things that are written by D like  Christian authors or F um  doctors about family and D you know  how to improve your home and all that kind of thing  
1851,Yeah  ,or not  
1852,Uhhuh  ,uhhuh 
1853,The only thing that  I   I    visited that D you know  is quite a tourist spot is Cancun Mexico ,F Um  
1854,C and   E I mean   they looked like a closet to me   D You know  with a desk in it  a   real small  ,F uh  what was his name Wolf Blitzer 
1855,C and  we thought D well  well take advantage of it and see what all the Pacific coast is like ,I kind of missed it this year and felt bad  
1856,I like Moody Blues  , C and   thats why they were opposed to it 
1857,C And  theyll take them places  ,Laughter
1858,want an editor they dont come laughter ,C but  laughter 
1859,I just graduated from college in May  ,yes  
1860,Anyway thats what we have  ,D Well  D you know   the other 
1861,I dont  ,Yeah  
1862,C and  I like to cycle a lot  ,C But then   the followup the next day was  
1863,One year I didnt put anything on  ,C So  thats definitely something  
1864, C and    C and   actually  I agree except that I dont trust the people who are appointed to vote laughter ,Uhhuh 
1865,Uhhuh ,uhhuh 
1866,Uhhuh ,D Well  I guess we probably talked just about long enough 
1867,C or  ,Ive  got a chicken casserole thats like that   that  that  Ive  
1868,Okay D well  thats about the same time as me I came down in eightytwo    Looks like 3 slash units here to me ,Byebye  
1869,Okay , Yeah  
1870,Who are the trumpet players ,Yeah  
1871,Right ,C But  I always feel like I would never put my  parents in either  
1872,ends conversation with husband He was trying to think of what the name of it was ,Yeah  
1873,its quite cold and ,yeah 
1874,when you do a lot of  outside D like  running and stuff its just so much easier,C But  theres just so many people that cant afford to pay anything D you know   
1875,Uhhuh ,C and  every other day they do your recycling trash 
1876,F Oh  yeah ,F Uh  probably not  
1877, C and   C and   were in the middle of the bathroom now  ,Uhhuh 
1878,C and  then my husband wanted a Labrador puppy  ,So    I  Im   I  couldnt live my  life without a P C  
1879, with Demi Moore ,it is  
1880,I just dont know it ,Well I guess it has to do with a lot of the stuff that I find out I am paying for now
1881, I think so   ,C So  it is a fortyfive minute drive to the mountains  
1882,D Well  D well   Ive enjoyed talking to you , good talking to you  
1883,Uhhuh , C so   C But    F uh  D well  you ought to try that  
1884,Laughter, C and  Ive got  D yeah  C and   Ive got  a HISTORY OF KINGSLEY IOWA 
1885,E I mean  when you   a religion that most of the people go to church and they dont understand when anything is being said  yet theyre  yet theyre  expected to bow down to it I think that keeps people in sort of line D you know  ,those kind of crimes deserve some kind of severe punishment  
1886,That is correct , dune laughter 
1887,D Well  you must have done something  ,C or  is that just a chore  laughter 
1888, C and   then popu   is it popup ,C and  it was really devastating  
1889, I  I  do it every morning ,Central America very faint 
1890,Uhhuh ,D Well  the most recent movie I saw F uh  Im afraid was F uh   
1891,exactly  ,F Oh  good  laughter  
1892,Bye , E I mean    from  from  my  from what  I experienced in them  
1893,Are they paroling  F uh  like murderers  ,F Uh  
1894,Hes F uh  F um  F uh  F oh  not an obstetrician  an  an  orthopedic surgeon ,I dont get as much exercise as I used to  
1895,C Or  even making the playoffs  ,C And  D so  D you know  he has these stacks of Sunday newspapers that go unread   
1896,my nearest neighbors about a half a mile at least ,F uh  I dont really know of anyone  thats D like  look  thats looking   for colleges now D you know     because  it    with the exception of F uh  peoples younger brothers and sisters  
1897,Yeah  ,Yeah 
1898, Thats the  thats probably the  major question ,Madonna can do anything  
1899, and  having your microwave laughter ,Laughter
1900,Yeah  ,C and  Ive got twentytwo year old male   chil  child   children   
1901, Do you  think the program came  first or the  ,health maintenance programs 
1902, no deductible on the medical all these things D you know   ,C but  Im just not experienced enough with  
1903,No  ,F Oh  D well  thats nice 
1904, It is  it is  something I enjoy doing  ,I dont think so 
1905,D Gee  like starting over  I guess  , The union  
1906,C but  I guess it also  F uh  brings about allergies  ,F Oh 
1907, Right  ,C and  I dont know what affiliate of Payless Cashways you have up there  
1908,F Uh   what  what  contacts do you have with the public school sy ,D like  my American Express  I use for D you know  gas things like that  
1909,Uhhuh  ,F Oh  thats nice  
1910,yeah , you would know  the whole world would know  what you were facing  
1911,its just that sometimes its not the right people,Laughter Yeah  
1912, that stays green all winter  ,I cant believe they can  
1913,I did ,Uhhuh 
1914, CHORUS LINE  ,I guess D you know  as far as comedies go probably my favorite is YOUNG FRANKENSTEIN 
1915,I had  pol  D you know  the required political   science class ,I felt I was losing my family 
1916, C And   C and   the other book  I am trying to think D you know  D like  was in the last year  ,Hello 
1917,F Uh  in Texas we have to meet certain state standards in order to operate  on a  at an  institutional level and at  a  D like  a  small home level  ,I saw that one  
1918,laughter C and so   I  I  dont know , other  southern states 
1919, I was glad he did that for young kids  because a lot of kids would have ended up dying because of what he was promoting ,Hes got to be pretty much  D you know   
1920,Do they have classes for them during the summer too , a lot of news things  
1921,Is anybody ,I bet that was a good day at the D yeah  conference then 
1922,definitely ,Laughter Im twentysix 
1923,I dont know  ,F Uh   d   D you know  to get the work load shared 
1924,C and  we lived there for about nine months  ,Yeah  
1925,I ,Ye 
1926,F Oh  okay ,it took us lipsmack almost a year to get a garbage sack full  
1927,C and  they F uh   ,C so  I drove on those brake pads for F uh  D you know  fortyfive thousand miles  
1928,How far out from the city E I mean  do you ,theres a little sensing  device F uh   in front of my  F uh  pause F um  A Im not sure   right in front of  the  f  fan   
1929,C and  I thought D well  Im  going to t  going to carefully take   those hoses off ,F Oh  is that right 
1930,We didnt know that was a big no no ,C but  I think our latest  sat  statistic  said something like ninetynine point nine eight percent were F uh  testing negative  on all the dru  
1931,Yeah ,C but   F uh  
1932,Theres where individuals will swallowing in one primarily babysit ,He went to Vietnam one man and came back another  not better 
1933,Yeah , your rice  cooker   
1934,C And  there were some others  ,Gives her a little bit of her own independence  
1935,F Oh  that would be great  ,F Oh  uhhuh 
1936,Do you ,our family
1937,C because  every penny I bring in is ten percent to me  ,C but 
1938,F Um  there was an Agape music group  ,Yeah  
1939, With  with  F uh  recent generations  I  I  know exactly what you are talking about  ,Uhhuh 
1940,D Well  we have some very nice  hou    homes  here in this area  ,C but  D you know   what he  
1941,Uhhuh ,Yeah  
1942, D You know   it had gotten that bad ,yeah 
1943,C And  it seems like Ive been  ,F Oh  yeah 
1944,C And  F uh  it is really making me want to exercise  ,Lessons do help   
1945,I think other than health insurance I think F uh  D you know  an extra week of F uh  lipsmack time off would be nice  ,C but  its sure D you know  were not anywhere near looking to F uh  F uh  cut down in size  
1946,Okay  ,Yeah 
1947,And pulled  the  F uh  the  little trailer behind ,No  
1948, C and   now C and    I worked in the school system  , Thats  thats  wonderful 
1949,We were going to get a really good price ,Yeah 
1950,Yes  ,F Oh  yeah  
1951,C and   the  the  quality   is  is   sometimes so poor that,Uhhuh   
1952,yeah  ,uhhuh 
1953, Ye   everybody does right ,Laughter
1954,C and  I cant think of the name of it now that F um   ,Yeah 
1955,Thats great  ,I did switch to one F uh  sponsored by the credit union though That seems to be a pretty low interest
1956,it was what  seven thirty  eight oclock  on a week night  ,F Huh  
1957,C so  Ive F uh  gotten over this business of wanting to go out and shooting  and  and   killing and that sort of thing ,Yeah  
1958,to impress the boss laughter,I know 
1959,I  ,Right 
1960,F Oh   where was   where  where     was  that  ,F Uh  I live on the outskirts of Baltimore  
1961, they  really are expensive  ,Uhhuh 
1962,you all,C but  D you know    it  it  gets a little out of hand sometimes  
1963, Uhhuh  ,C and  
1964,Uhhuh , and having  some children peace and quiet  
1965,Yeah  ,Now they have started here running a three day or three times a week Plano section 
1966,it was some time ago  , Sure  
1967,F Oh  yeah ,Yeah 
1968,Yep , C And    C and    of course being a woman I like romance novels and stuff like  that a whole lot  
1969,D Well  it was really good hearing from you  ,noise he does half  
1970,C And   F um  theyd go after them saying F uh  jeez what you really need is a defensive end  ,great  
1971,I keep going to noise eleven at night  ,I dont really care for that too much I guess 
1972,that was  so F uh   ,Breathing
1973,C So  ,C but  
1974, E I  mean  these are people who dont have the foggiest idea about what Americas like , Yeah  
1975,Right  ,F Oh   the  the  carpet place that called me three times 
1976,And F uh  about a American woman that  got kidnapped in F uh  noise Morocco ,F Uh  do you want to give a start on it 
1977, D Well     that   thats  ,Yeah 
1978,F Um  ,C Because  its more of a  survival city    
1979, D You know   a good  i  idea  for the young  kids like that too is to have D like   a  lipsmack a   mock one  ,Uhhuh static 
1980, Visits everyday  ,Yeah   
1981,Surely ,E I mean  her bonus isnt that much  
1982,Lipsmack Yeah  ,Yeah  
1983, are active right here  ,people are forced to sort of take all different kinds of classes here which I think is wonderful 
1984,Yeah  ,C and  the people F um  wouldnt  reim   reimburse them for anything 
1985,C But  weve just really got a wonderful  system that were working under ,I have a brotherinlaw who is F uh  an excollege coach and like a pro  
1986,Yeah , Seems like it cant get much worse   
1987,What kind of work do you do when youre consulting ,Even something so simple as getting a street light in between 
1988,That would,Also probably look at packaging and
1989, and still social  ,Thats interesting  
1990,I think T V is bad  Because they F uh  show all sorts of violence on ,C And  you know how much youre going to drive every week 
1991, in your life  ,What  
1992,C And  F uh  ,C and  I hope you  get some more calls and make some more calls 
1993, think  ,Because  
1994,C so  hes a fan  of  of   Dairy Queen  , Yeah  
1995,It definitely ,C and  you see  
1996,because they really had no idea noise what was involved once I got home  ,C and then  you have their birth date on them 
1997,I used to have a   Chevy , They  those   have been real popular with my family  
1998,Right ,D Well  it is  
1999, interested  in whats going on around you , More  more   
2000,F Uh  I think theyd have to go to extra measures to make sure a persons guilty D you know  in a lot of cases  ,C so  D you know  
2001,yeah ,Our son on the other hand who was about eleven at the time was F um  not very interested in pets  
2002,Right  ,C And  F um  dipping Arabic bread the thin   piece   of bread in that 
2003,Where maybe a physics professor  ,C But   F uh   
2004,Uhhuh ,In teaching 
2005,C And  my thirteen year old is pretty separate from her brother and sisters  ,I have one right now  
2006, that  was really good ,Uhhuh 
2007,F Uh  they are desperate at this point in time to keep their country together  , F uh   violence  
2008,Yeah  ,Yes  
2009,thats  kind of  kind of  wild ,Sounds like a lot of fun  
2010, F Oh  th ,He does 
2011,C and  in the meantime she and  her husband F uh    were    ex   ex   were  expecting    a child  their own child   ,How long have you been in Raleigh 
2012, theres  a bunch of scenes  from  F uh  F uh  from  THE GODFATHER thats used because Matthew Brodericks going to film school  ,Then you F uh  pour that in there D you know   to make the gravy   
2013,C and  E I mean  its just  so  so  abundantly clear that they did it ,C And  they talked F uh   
2014,D well  we need to have another one  ,Right  
2015,watch M T V anymore  ,Laughter I dont have a Master Charge  
2016,yeah ,sound F uh  really similar  
2017,D Well  D you know  I had  a car  F uh  F uh  a tire  come off of a car  ,D Well  Ive enjoyed talking to you 
2018,Im replacing the two or  three starters on the Chrysler ,I F uh  lipsmack  
2019,C So  he went out  ,or something 
2020,C and   I  Ive  seen it in other states too , if there is some big expense in trying to call a jury to trial and then having to pay whatever they have to pay if theres something that they have to pay  
2021,I would not either  ,D Well  so far my wife and I have pretty much had to  stick with tent camping 
2022,  doesnt always get emphasized  ,D Well  I guess thats  fluoro   the fluorocarbons   
2023,Hopefully youre a basketball fan ,Yeah  
2024,C and  from my mothers generation to my generation  its   just a very very wide   F uh  its  been a big change ,D Well  D you know  its hard though  because then you start talking taxes  
2025,I was going the wrong direction  ,What was I thinking  
2026,C and  without any warning whatsoever   you could be going down the freeway at sixty  ,C or  people also get the feeling that D well  D jeez  D you know   you dont have to worry about   you have a lot of job security there  
2027,Okay  ,Chop them up F huh  
2028,E I mean   they a      laughter  ,Yeah  
2029,of Thirteen F uh  THE MCLAUGHLIN GROUP  , Yeah  
2030,D see  were from Houston C and  so its not so hard for people  ,Are you married at all 
2031, C and    C and    F uh   somehow or another theyll give you an option to leave a message  ,Yeah  
2032,It really was  ,C because   
2033,are very F um  aware of the  opacity which is the thickness of a stack emissions   ,Uhhuh 
2034,Yeah , or if we just  really didnt 
2035,Uhhuh ,laughter That is what I am afraid of 
2036, I  I  think sigh with solving some of the  energy  future energy  problems well probably solve some of the pollution problems as well , before he moved up to middle school  
2037,Talking Background voice says thats not the subject  E I mean  you could always F um  F uh  be careful about that back  then because, Uhhuh  
2038,the place dont they ,I think I would be like  
2039,Youre off of the main road you said ,C But  there are  
2040,Yes  ,F Um  
2041, It  it  doesnt  ,You bet  
2042,no  ,D so  that was F uh  
2043,Right  ,You start letting that happen and they go down  
2044,D Anyway  food  is  is   F uh  a real lifestyle kind of thing  ,Uhhuh 
2045, Yeah   ,Uhhuh 
2046,Yeah     should be indepedent slash unit ,Uhhuh 
2047,I agree ,just wait until D you know  the weather warm enough  to stick it in the ground 
2048, C and   C and   these boxes are  ,Yeah 
2049,Yeah , eightyseven  
2050,were teaching D you know   ,C and  F uh  you can get everything here  from F um  a very spicy Indian meal to D you know  the favorite barbecue   and  and  F uh  just anything your little hearts desires around here  
2051,C and then  certain things that  ,Thats kind of different 
2052,Yeah  ,How about you  
2053, Hes been through obedience school  ,C and  I got accepted to college  
2054,Thats where you really need a jury of peers,Yeah  
2055,C so  its kind of nice  ,March we typically get a lot of rain  
2056,yeah ,Uhhuh 
2057,Laughter, C So   C but  
2058,I wish they were in that instinct  , Im trying to think  A I went to high school in Chicago  Im trying to think  what Purdue kids watch 
2059,He ran out to the store for a few minutes  , we did plan it to where we have  some  some  play yard left over  
2060,Uhhuh ,Ah 
2061, It  really isnt  ,It used to be that our list ran nineteen twenty twentyone for our patients ages  
2062,I do  ,Im in an apartment in F uh  Plano 
2063, Yeah  ,C and  she would have to sue him needs slash unit
2064,Yes  ,D Well  I agree with you there  
2065,F uh  C and  I Ive F uh  THIRTY SOMETHING Im particularly interested  ,Right 
2066,F Oh  okay ,C and  thats all theyd have to do laughter 
2067,Thank goodness I have mine  ,C and   F uh  one thing that is a big concern in the evening at night F uh  is F uh  make sure that all the foods put away and so forth 
2068,C so   D You know   I think  I think   that  that  the people who most need to vote sometimes  are the  are the  ones  who  who  are really out to make a statement because D you know    when  when   when  youve got an underdog candidate who represents something and even if he doesnt win a large number of people voting for that particular candidate does I think make a statement ,Yeah  
2069,F Huh  ,Im sorry 
2070,C and  I can just imagine if D you know  laughter D you know  some guy being  on drugs they go there  ,C but  yet the way I was raised  
2071,C and  Im not  quite sure theres certain places you can go to that have F uh   discounts for people that work here ,That kind of a gravy or a sauce  that comes with a lot of that  They use corn starch instead of flour in all of their sauces and gravies     Shouldnt this be 2 slash units  Im confused by the capital letter on They 
2072,it did ,Right 
2073,Yeah , C so   F uh  there arent many people  D you know  that want to do that 
2074,usually we go to church on Sundays ,I think   it  its   its  sticking your finger in the holes in the dike 
2075,The only thing Ive ever had was Ive had my wallet lifted  ,Were you in the band 
2076, He has no insulation probably  ,Theres money out there 
2077,Sure , which  is  D you know  sort of everything else you need  Sort of   your  your   your  basic care
2078,what do you do when youre putting  , Yeah  
2079,My dad taught there ,What about F uh  D like  teenagers that get involved in a gang and do a drive by shooting or something like that  D Say  fifteen sixteen year old  
2080,right close to where I live is the   Seabrook   Nucleus site which is,I bet it is 
2081,Yeah ,Yeah  
2082,Uhhuh ,we have an aunt that lives out there  
2083,C And   F uh  ,that F uh  
2084,F Oh  D sure  I do too ,Oh 
2085,they have breeders ,C and  what happens is  D like  F oh  everybody gets D like  totally into the music  
2086,Im trying to get out  , C and  hes  got a big clientele  
2087,C because  thats what we do  ,C and  F uh  most rap I dont like  
2088,F Uh  D well  we probably have about three months,Yeah 
2089,C so  this is probably a real hard subject for you ,association  
2090, Id   I had  heard that too  F Um  ,C and  I have a closet full of sweaters 
2091,I get back to Prices comment when he F uh  was found guilty he said D well  he didnt have any blacks F uh  D you know   from his neck of the woods ,C but  if thats the environment that they have to live in and survive in then you have to sort of  
2092,C and  they keep themselves clean  ,that would be the intent of it 
2093,F Oh  yeah ,F Uh  I think Id like to get F uh  B M W  or   if I go the German route which Im kind of leaning towards right now  but   F uh  or maybe  a Hon  E I mean   a  a  Acura Legend 
2094,what am I thinking of F uh  the commentaries  ,C So  laughter 
2095,F Oh  definitely  ,C And  F um  throatclearing F uh  I play the guitar and a banjo  
2096,E I mean  I havent been watching my watch  ,being
2097,C and  F uh  , in  in  Texas  
2098,Yeah  ,     I   it   F uh  the   the   that   thats  a  a   negative about F uh   where  where  I am in that F uh  D well   I came out of  F uh  I worked  five years civil service  
2099, C and    C and     its   its like the    its like   oil on top of water  ,Uhhuh 
2100,Laughter Which one ,Uhhuh  
2101,C and  it really  ,C and  it isnt  
2102,Uhhuh  ,D well  at least Ive heard that  
2103,D Now  this is done in the needlepoint ,they do kind of follow or
2104,is it five or three ,C So  I 
2105,Sure  , b   
2106,E I mean  they go  , It   see you dont necessarily  have to dip this stuff  
2107,C and  F uh   a lot of it  is  has  a lot to say  E or  some of it has a lot to say   the music does  the lyrics do   ,Was it like a primer 
2108,Yeah ,Yeah 
2109,D Like  REDBOOK used to always have a good short story in it , Yes   
