Question,Answer
C and  he likes to do special music and stuff at church , you do that in the primary  
Have you seen WILD ORCHID ,They just tested me once 
 My  in fact my  mother in law just visited  ,C But    
thats done through example D you know   not an actual sit down learn situation  ,C and  I think that if we are doing other things and these programs come in sometimes they influence us  
 He could  he could  not only F uh  F uh  shoot himself  ,I could probably plant one and bring it in  and   just like I bring my plants in every year  
He can walk  ,Do you live in the highrise 
 C So   ,D Well  not lately laughter  
You mean they could  ,He doesnt really pay attention 
Yep ,Yeah  
C and  when Im not ,Anyway  D Well  
C And  F uh  we are presently F uh   in receipt of a site permit which will allow us to F um  lipsmack F uh   ,F uh  kinder 
 Its  its  to bad because  its F uh  E I mean   th   just even the random occurrences where D you know   its unsafe for a woman just to walk from the car to the some in certain areas like  from the car  from their car  to the mall or something  ,Uhhuh 
pause theres somebody on my other line  ,I dont  
C and  F uh  I dont know  ,C and  I do fabric painting 
Ri  ,Bye 
 it  it  would  ,Ye 
C but  lately its been just about that  ,D Well  actually F uh   Ive  Ive   had a couple of different situations  
E I mean  like you said  how  they were  the schools  are doing more things for the kids they thought than they were thirty years ago  ,Its just trying to keep anything  
    ,thats true laughter  
C So   I really  I really  like that  ,F Uh  yeah 
 C But   F uh   this guy  ,D Well    I just  I   that day I  just took extra lemon and just squeezed across the top  
Uhhuh ,At least we hope it will 
Yeah  ,  C and   C and    to take time out and F uh  study the issues in depth would take quite a bit of time  
F Oh  D well  people that call on the phone all the time to try to sell you something D You know   that  that  try to sell you the  s  newspaper  and F uh   wha  carpet  cleaning and F uh  A what else  roof repair dishes  ,F Um  C and  one of the quick examples is the Aborigines 
Uhhuh  ,C But  no  
C Or  what would they do , Im not really sure because the E I mean  society is going more and more electronic  
My Masters anyway ,D You know  what was   why  she had to go there 
 celery seed  ,Yeah 
 F Huh   ,C So  we really enjoyed that 
C So  theres a lot of people here pulling for him ,C but  throatclearing
weve had three Mazdas  ,Laughter DONNA REED laughter 
C and then  I D you know  used to play it a lot when I was in school  ,C but   its  its  real F uh   
right , F Um   
F Oh  wow , Would you then go  ha    hiking  
F Oh  thats wonderful though laughter ,D Well  you too Jim 
no  ,Yeah 
One thing we could do is give a ten percent income tax,it F uh   
Himself and her ,Byebye now 
C so  she doesnt run loose  ,Yeah  
C and  he got into a snowball fight, kids dont  kids are bombarded  with all kinds of junk  
C and  I think they put it like eleven oclock F um  California time D like  in California  ,Right 
F Oh  my gosh  ,Is that right 
C But  theyre both , I think you need the thing around  your waist  
Uhhuh ,it all depends again on whos writing it and who theyre for because they can slant that too 
All right ,C And  were planning on having my wife stay home  
 something new  , and thats an invasion of my privacy I think 
 D you know  if you buy a good one  you shouldnt have  any  D you know  too  much of a problem with it  , its  D like  its  not too much money  
C and  its always been  ,Lipsmack We have family that lives outside of the state  
Shes real  s  sweet  little dog  ,C and 
Right ,A small number of assaults  
 shes  shes  quite attractive looking ,   C So   C and     C and    you withhold no matter what you do  
just recently this F uh  black man served nine years was it,Yeah 
 C So   C and    th   D you know   everybody just gives you a credit card just so  youll spend money  ,I dont use a family budget  
Yeah     slash error should be ny,Right  
Ive been down to Texas a few times,F Oh  thats not bad 
C And  if they were in the same building ,F Uh  D so  you are   in  F uh  in   part of  a band 
I guess so  ,Throatclearing  Do you  
 you   whe  once   you   get ten children though you may have ,C and  wed end up just smoking cigarettes and  riding around like we couldnt find the place laughter 
Yeah ,C and  youre going to get shot 
C But  I only get that once a month , F Oh  yeah  
they cant change it  ,Its like 
C but  every year  it just seems to hang on  ,Right noise 
F Oh  we are too  , We could not  we could not  get it together to drive  
theyre hospitals that  theyre F uh   agreeing with F uh  T I that theyll be a certain rate D you know   for rooms and care and all that kind of stuff to keep  co  D you know  costs  down ,Yeah  
 Lipsmack Can I pick your brain  about how  you got rid of those trees  ,F Oh  I guess the stuff babycrying  that was done more in the seventies  because  thats    slash error
Thank you very much ,This is a great subject because theyre out there gardening D you know  
well as far as that goes  ,F Uh  I dont know about that  
Yeah  ,things
Noise,Okay  
Right very faint ,C But  we have  
I dont know,No  
C and  her husband had escaped to Hong Kong F uh   ,Right 
 were just  D you know  its like we just  woke up ,Yeah  
How about yourself ,its running  
D you know  its a different viewpoint  ,F Uh   I dont  I dont  know  
Yeah  ,who do you like  Laughter 
 C but  ,it is a mental thing  
C so  Ill let ,F Um 
C But  then one brother and sister from each family ,F Oh  yeah  
Yeah   ,Every month I add two hundred and twenty dollars to it  
Yeah ,C And   F uh   its  its   just ridiculous  
C and  we had one of those little pop up tents which is really nice because it kind of gets you off the ground  ,Yeah  
yeah ,F Oh  I did  
Uhhuh  ,Now 
C So  that was a wonderful vacation ,F Uh  I believe that it will  contribute to something that we would at this point call national health  care whether its subsidized by the government  and  and  operated by  private insurers F uh   
Uhhuh ,Go laughter 
Yeah  ,Yeah 
Uhhuh  ,I did  
 and hes living by himself  ,uh thats something that youd have to just check with your authorities  
C So  there really is only one major L A now ,C But  the rest of our friends we go and watch them 
go  ,C and  what gets me even more is the attitude of people who are really into classical music
I want to raise my kids  ,F Oh  really 
C and  now at this stage of the game where they have gotten into noise recycling theyve collected so much news print that they have to pay to have it hauled away ,  or   or  D you know 
C And   thats  its  really too bad  ,Id probably catch a terrible  disease and die 
Did you have to do that ,C So  
and because of the war  ,Yeah  
  I  F uh  Ive  got my wife motivated about it F um   , thing  that changed that was the manual typewriter  
D Well  its kind of difficult for me Because right now F uh  like most teachers Im laid off  ,C and then  of course Peace Corps bowed out of that because thats F uh  F uh  something that nationalized very quickly 
C and  when I started teaching school it was in an inner city situation,But  
acceptable , Yeah  
Older laughter , has  made some places safer  
C and  I go through them  ,Well thats not 
C but then  he was required to go back and work for a certain number of years in this town at F uh  F uh   ,Im not real sure 
C and  you wind up waiting about an hour  ,they want everybody educated no matter what it costs  
They publish it every single day ,No 
F Um  he does it believe it or not A I wouldnt imagine why  but  to get out of the house away from his wife  ,C and  Ive thought about it myself  
C but  I somehow think that war is one of those  things that maybe is inevitable  ,F oh  I do too  
C So  youve received a lot of F uh  flack , I  I   would have liked it  if he  if he  would have though 
No  , C so  laughter 
Yeah  ,like you were saying talking you say D you know  hey  we just  D you know  we just  cut defense  
F Uh  are you saying you dont think  anything should be done in the short term ,Yeah 
I read a book one time that said that the best cars were made before seventyfour , C so   C But    when I worked out I got in pretty good shape  
Uhhuh ,Yeah 
Do you think that theres any way that F uh   , F Oh  yeah  
right  ,  They just  they just  announced that didnt they 
Uhhuh ,May not  
Uhhuh ,C And  F uh  have a big sun room on the back of it 
its just as boring , F uh   I would just   E I mean  wed  be  f  really cold    
They dont have that much money on hand ,Um yeah  
D Well  lets face it  ,uhhuh 
he published a paper F uh  couple of years ago I think A didnt he  D well  one that I read  ,Uhhuh 
It curbs the appetite  and helps with the calories and all that stuff ,C Because  naturally that isnt their taste 
C And  its probably because   I  I   I  was born in the Chicago area and grew up in California  ,C and  you have a beer
they,C And then  my folks had a cabin at one time at Lake Tenkiller  
Uhhuh ,Yeah  
its whether or not youre a resident for that jurisdiction  ,C or   
Okay  ,F um  my day is usually pretty full 
Oh ,C and  I think one of them was a blend of two types of grass that they had used 
E I mean   Ive seen D like  picture of them  ,Sure 
D Well  sure have enjoyed our talk ,C and then   my  my  parents  live in Greenville  
Only work initially ,Uhhuh 
 have children ,Which is exactly what businesses do at the present 
D Well  luckily it hasnt gotten that bad here ,F Um  the last movie I saw was   REGARDIN   REGARDING  HENRY   
Are you  , and they got here  
Laughter  It does  ,Uhhuh  
You would be surprised ,F Oh  uhhuh 
D You know  I guess are you is it a  little bit of constricted because a lot of restaurants dont take  ,C but  Im still looking for a part time 
Byebye ,Uhhuh 
D Well    my  my  dog   when I came home  F uh  when I come home  in the evenings my dog  greets me at the door  ,People who really are committed to the students and can afford to  be because thats their job 
No ,Okay 
I guess weve got  a  a  daughter who is eighteen months and another one on the way  ,C so  F uh  
 C and   F uh  throatclearing C but    I  I  dont think thats done much anywhere laughter  ,Uhhuh 
D well  its five seventy here  ,mine are just mostly D you know  things I just do out of necessity 
F Um  ,C and then    you   D you   know  you  go down a path  
Uhhuh ,Yeah 
 Texas   ,Uhhuh 
Better coping skills ,C And  D you know  maybe do some free lance type work at home   
Uhhuh ,uhhuh 
Yeah ,Faint  F Oh  yeah  
Yeah laughter , Sure   
The guy was obviously , Uhhuh  
D You know  theres so many different options and so many different prices and who has this cash back and whatever  , F oh   my little boy  just   he went wild  D You know   I  mean   because  because  he had been used to me 
Uhhuh , C and   F uh  
F Oh  okay ,F Huh  
because I think in some cases F uh  the jury may not even have,we were going to trade that in for the van  
Uhhuh  ,C so  I bought a couple of books about how to buy a house and what to look for D you know 
he keeps  a s   F uh  food out there,Its not as much 
Hows the ,F Oh  yeah 
F Oh  F oh  C cause  theyll come in in ten minutes normally and stop us   slash error,F Huh  
I need to F uh  either paper back over it or do something sniffing , Yeah  
 I dont   I dont  know what his name is ,C and  all seven are in a sport  
what in the world are you asking me about here  ,theyre coming down on the principal  
Yeah ,but it it doesnt seem to  
C but   F uh     its   it  does not   its not  as many people there that I  really   really  enjoy seeing ,Yeah 
D Well  some of them yes they do  ,C but  Ive just got too many more important things in my life now than to sit  around  and  and  watch a baseball game 
 We , it  zaps them   
Yeah  ,they tried to put me in some kind of immobilized walker  because he doesnt like to put casts on when its warm  
theyre pretty tough F uh  ,D Well  we definitely need a change in the system  
I think  that  that  theres a lot of inconsistencies when some conference F uh  players come from outside of Texas D you know  and play us here  ,C and  it turned out to  be  really nice  F uh  a nice desk 
No  ,Yeah  
I dont know anyone personally thats in an elderly home ,F Oh  really 
Right  ,Is like  
I would love to help somebody D you know  , F uh  and  what it really means clicking to vote  
You moved there from where  ,Does that make a difference to you 
I do too ,its on Cliff  
Yeah ,C So  its  ber  basically  mindless  
C or   do you all need four wheel drives up there because of snow and everything ,and the  coleslaw and potato salad  
C But  F uh  ,Thats true  
Uhhuh ,he is F uh 
 C and  these guys just are on the endless merrygoround in the legal system  ,C so  I switch quite often  
 get away from it all ,C and   we all 
Uhhuh  ,C And  I give them  
You were expected to stay home and take care of the kids  ,Yeah  
Uhhuh , exercise  
I have two ,I was on an exercise program before where it was more like an aerobics type thing 
Uhhuh ,C but  I dont remember it 
 D you  know  with  their  their  use of no, C and  F uh  were convinced that she probably would be better off in a geriatric 
C And  if you figure  get with a financial person ,I may  
Oh  , did  is  your since that we now understand how bad it is   listen
 Uhhuh  , scratch her any more  
F well   ,Do you sing at choir at your church   
C So  its not really cured  ,Even the Spring Creek one has a lot of weights in it 
Uhhuh ,C And  the money is also another issue How youre going to pay for it 
Yeah ,D So   where
 C and    it was  F um  it was  called F um  SMART WOMEN I think,I guess hes a big help out in your garden  
I sent it,It would be just plain paint 
Uhhuh ,Id like to be able to stay home and be able to spend time with my kids 
Uhhuh ,Right  
C but   F um  this is not on the subject , C and   F uh  C and    F uh   people    businesses  would be prohibited F uh  from calling  for pers   for  for  business       selling you things 
C And  its not clear to me that thats so much less democratic   ,what did I say Peter 
I enjoyed it  ,C And  Ive also driven one at  a   something  Mazda put on where F uh  they went to F uh  autocross events  across the country  F Uh  which is where  you race in  F uh  you race   on     in a parking lot or something like that with a bunch of F uh  cones to see who can get through the fastest 
E I mean   I was , tha  it  works by the way 
So am I ,C but  D anyway   I   my  youngest is getting married this year 
C And then  he thinks  that he has the money  that  that  he can spend on something  ,C but  the statistics seem to say that  
C and  I think the real trick is to avoid the sigh  D you know   ,Where else have you been 
Yeah  ,We dont get to go that often  
F Huh  ,Laughter I know 
 still ,Wow 
You have to start wondering  if they dont want you  ,Uhhuh 
Uhhuh ,its funny because  Im  I was  in the process of filling one out when I decided I would make this phone call  
I think they need to  do a little bit  go into a little bit  more depth F uh  before they would just report  D like  somebody wants to make a statement or  something like that  ,C And  F uh   you 
C but  they put,     laughter 
E I mean  even if  they had to pay more now  E I mean  in the long run its going to cost society more to ,I do feel the courts  have  have  held up a great deal  of  of  our privacy  E I mean  particularly look   in  in  some of the  in some of the  
Im originally from Ohio  ,C or   ha  has   crime increased  
Yeah ,if they dont say no annual membership on them Ill throw them away  
Some people can be let go and replaced like F uh  say F uh  a typist F uh  somebody who does data entry or answers the telephone or receptionist  ,C and  F uh  F uh  its supposed to have about the worst air pollution laughter  
D Well  D you know  theyre always there for you  ,D well  D you know  we  
Right  ,Uhhuh  
 they  they   broadcast this terrible riot  ,Okay 
Uhhuh ,Laughter
D Well  we dont either in Texas ,Uhhuh 
 We have to   we   well  have to  face it in a couple of years   ,C And  some places wont take D you know  D like  personal checks or cash even  
C and   they  they  bend over so fast ,F Oh  how about that 
C So  they like that ,they report facts  
C but   its just   it closed   recently  ,I think thats F uh   
D Well  Ive been pretty lucky in that respect  ,C and    I was  I was  an administrator  
 probably a lot of waste in defense and in government funded research in the first place ,E I mean  I think 
I see  ,Okay 
 gave in at Christmas  ,Faint  Uhhuh 
Uhhuh ,Okay  
D Well  thats about all we have laughter ,  It  it  turned out to be  a  a  Chrysler  F Uh  lipsmack Lancer 
its D like  a little bit past Campbell and Plano  Road childrentalking ,D Well  I never thought of  that benefit yeah  
thats true , it should be real interesting 
E I mean  obviously I do  most of my  almost all of my  report noise writing  on  on  my computer F uh  whether its term papers or even some smaller homework assignments ,Right 
C and    that was  that was   simi  that was   some  some  program where people gave their time, isnt it great  laughter  
Yeah ,C But   F um  E I mean   ev  evidently  a normal cow produces that much too 
F Oh  they are  ,F Oh  my 
  Wha   ,we have had a few cases where the guy has broken in D you know  during the middle of the night and gotten himself shot to death 
 C and  F uh  C so  I was really disappointed in that because I like him , C and   C and   it would be F uh  D you know  out of the question 
C But    its  its   pretty   its   fun to play ,Uhhuh 
 what  what  kind of F uh  F uh   ,Oh 
C and   I just  D well  I  need to slice this ball around here  ,C and   we  we  took him in  
 its just F uh  too much  ,C So  what is it now 
D Well  I know  , That would be  nice 
Yeah ,C and  my insurance is only going to  cover D like  fifty of it 
Rent a car when you get there and all that  ,F Oh  is that right 
Right ,Oh 
Okay  ,C but  they sure do  
theres a big long railroad shed  ,C And  Im convinced   that  that   that  at least twentyfive percent of our school participated in  some sort of a  some sort of  group  D You know 
 F uh   the  that  type of technology just wasnt at peoples disposal ,D Well  yeah  
C But   E I mean  time wise how long  ,Okay 
I figured about that , it  it  comes right on  through  
 I  I  played F uh  just a tiny bit when I was real young  ,Uhhuh 
F Oh  yeah  ,Uhhuh 
yeah  , F Oh   really 
 Yeah  ,D You know   thats   thats  totally out 
C and  if we dont start making changes in the homes  ,Yeah  
 We keep our newspapers and stuff like that  C and  we keep our newspapers and stuff like that   ,  If that   so   if that   if that  amounts for anything 
Oh ,Ended up being  
all connected together so it was like lower middleclass housing  ,Say out instead of out you say out  
Yeah ,this isnt for me  
That  you cant  you cant  remove the jury regardless of the case ,this guy comes up  
table saw scroll saw band saw lathe routers  ,D you know  
 people would begin to switch over D you know   ,C But  F uh  the telephone doesnt bother me because I leave it half the time on F uh  D you know  answering service anyway
 C and     ,Right 
Uh were our our we wont have any more licensed drivers for about thirteen years , D you know  you just dont buy a house 
Uhhuh ,Yeah 
C and  they we moved in when they were brand new,thats one of the F um  entrances to the   periphery  to get in and out of the city 
I dont know  ,C and then   he ru  hes a runner  too  
if you dont like it shoot move on to something else  ,Saint Claude 
C and  he just struggles,We used to have a Honda Accord  
Yeah  ,C and  now they have turned it all around and done a pretty remarkable  job  
Snow ,C and   thats  thats  why I think that D you know  its  
Uhhuh ,Uhhuh 
  C And   D you know  C so     they   D you know  they used   F uh  F oh  I think they used  the  ,are the rest of us  who went for the big bucks D you know   staying out of D you know  where maybe we should be kind of socially obligated to spend some time teaching or something  with barking 
I had the chance to hear Tracy Rowlett speak to a group  ,Ours are the double pane  
D C So    you just   you  get started  ,C and  F um  I sang all through college and things like that  
One of my daughters once was out of school with Mono in her junior year I think it was  ,They dont talk about theyre charging that enormous fee every year 
C So  I cant complain too much D you know   ,it  see  seems  like   its  its  a kind of a Catch Twentytwo  
women are starting to have babies without a partner ,Yeah 
 what  what  are we going to have  ,Thats right 
C and  Ive seen how their school system works  ,C but  D you know 
I work for F uh  Lincoln Laboratory ,Good night 
Uhhuh   slash error should be b,thumping
E I, C and   its the fastest thing to do  
versus what are ,Uhhuh 
I think he was ,I really resent this fact that they keep adding on gasoline taxes  
Laughter F Oh  yes  ,theres 
Yeah  ,I havent really determined if I like  the  the  Japanese or  the   if I like them enough to purchase one     Looks like a complete slash unit to me 
C And  its really going to be a mess when they  have to start hunting for places to put the things ,It is  
Uhhuh ,Uhhuh 
C but  they had a lot of F uh  F uh   counseling groups that use some of the episodes  as , When  when  your own children are growing up you just take them for granted  
sure , because   Ive    I enjoyed  my   the first summer home ever
But whether or not it would be uh our money would be better spent uh teaching you know working on the drug problems and the and the sex problems uh rather than trying to cure the people that already have it ,yeah 
 he    he  was thinking   many ,Yeah  
Do you ,Obviously hes not going to turn himself in 
No  ,D well  I shouldnt say all of them  
    , C and    C because   I have a ten year old  
D Well  thanks  ,Uhhuh 
 F uh  on drugs  ,or something  
uhhuh  ,E I mean  we are going to have  to change the people who represent us 
I dont,Right  
Uhhuh ,Yeah  
theres  a trick I use  ,Primarily with our local newspaper and T V 
Yeah ,Uhhuh  
Uhhuh  ,Ive been through three classes  
C and  somebody said  to me in terms of  ,C and  yeah  
 It didnt  F uh  it didnt  have any real social bearing  ,yeah  
F Oh  good ,F Uh  C and  occasionally what well each do depending on whoever is driving is have the newspaper sort of on our lap on the way  in  in  the car  
My husbands played for twentyfive  ,Yeah 
F Um   I  actually Im  doing consulting right now because I just had a baby  ,C and    D you know   what   that  was one of the things  I really thought Id like to do with my children
Yeah ,Agree faint 
C and  its been humid  ,F Oh  dear 
I want ask some questions here laughter ,Yeah 
uhhuh ,yes  
 Yeah  ,C or   are you  did you  go directly from high school  into  into  college 
 so  he can eat  , D you know  that kind of thing  
 Uhhuh   ,Actually make them do something thats  not pleasant and do it and get it over with and get back in the D you know   world and not spend so much time sitting around letting the bad influences  of the other ones rub off on them  
C and  I do go home on weekends during the Summer  and  F uh  and  F uh  mow my mothers grass and different things like that ,we just 
C And  that was the major D you know   decade of expenses D you know   ,Uhhuh 
Yeah  ,C but  the way we set up D you know  the amount that we want  to save and the amounts that we have to spend for D you know  F uh   utilities and F uh  the house payment and all that 
F Uh   I use them both here at work and at home ,Theyre stupid laughter 
Yeah  ,that was the furthest and then Kenyon in Ohio which  was about six and  a half hours  
Theyll send out news bulletins  ,C and   F uh  
Its really an illness or whatever you want to say that it is  ,And theyll just pick noise  crooked people again  
we all got  ,F Uh   when I  when I  wanted to go to an undergraduate institution I was looking for something  that was D you know  rather small and easy to get around D you know 
What are you ,if you hired me Ill be D you know   
Wow laughter ,Yeah 
C So  you do spend less time then , bought what they could afford 
C and so  I would think that that would probably contribute to us not having that big of  a  D like  a  smog problem or ,Uhhuh 
D See  I  ,Yeah  
Its really nice pause  , C And   F uh  C but   on the whole I think it F uh  probably was the wrong thing to do  
C but   F uh  ,I havent done that  
Right ,I also thought about it  was of   F uh   waiting to talk to you that another thing that occurred to me is there is not so much invasion of my privacy because I know how to behave such that there isnt  
F Oh  really ,no  
That F uh  ,I bought mine a year ago  
Uhhuh talking , I  I  like  sewing  sewing   up the garment itself  
C and  I ,F uh  reports inst  
C and  the water rushed down  ,Yeah 
C and  they are interesting  ,C So  that was interesting   
F Uh   I  I  follow it especially around  the playoffs  ,E I mean  F um   ye    in the winter time yes   
E I mean  this is  the  the   place that we have to live  ,Right   slash error
Yeah  ,Uhhuh 
Uhhuh ,I started a project A its been over a year ago  laughter that I swore I was going to finish for somebody for Christmas 
C and  ,All right  
I was born and raised  in   F uh  near Miami  and F uh   spent the  ,I dont know  
Im not  ,killed those three sheriffs deputies  he is out free  walking the street  
it really would , a big    thats a big  thing with me  
Uhhuh , th  
Yeah  ,D Yeah   theyre  pretty nice  
yes  ,Pause Ju  
C and  Im particularly interested in certain things of course like all the news about Haiti recently ,They just 
F Uh  D well  I dont pretend to understand that either  ,Wow  
C So  would I  ,C and then  you have to clean  it up and such  
C but  they take so long  ,Throatclearing noise
Laughter Yeah ,C and  F uh  we live right outside the city  
C and  I really enjoyed driving  that car  ,F Uh  not anymore  
yeah ,Thats right  
Uhhuh  ,D Well  were working hard on it because were fighting also in our area a large hazardous waste incinerator 
I dont know h laughter , Its    theres  always something to do  
 for F um  just social workers in  some of the inner cities and some of the rural areas where they just need advice on medical F um  things,I understand F uh   
That wasnt  too  too  bad , C but  more than that I dont think that they have the authority to command the attention of the children 
C But   F uh  ,D Well  I dont know  
wanted to come ,C so   all the  all we  do is turn  
Right  ,C Or   do you  do you  know in Virginia  whether it is   if they have  smaller juries  
 C and   swallowing C and   D you know  they get over it real quick  ,C And  I tell you what  i   its  never failed to come out tender and juicy
C and  I need to go out in the morning and run  ,Huhuh laughter 
Sure ,Yeah 
I never understand D you know   ,me too  
Oh ,C and  Im kind of irresponsible  
F Oh  a tree       is always  something very nice to have ,C but  hes seven F uh   
Uhhuh ,and we were in the retail milk business  
 C And  Im  finding as I volunteer up at the school I just being F uh   ,C and  they all rotate all the time 
Im F uh  not for gun control,I dont want a new car though  
D Well    most  most   most  of the time when  you see  bus   F uh  D you know  the busses  with the diesel ,C so  
C And so  weve got both of those budgeted  ,Chicago has a lot of good stations F uh  
 even though theres F uh  taxes on different things ,D actually  my house is Kosher  
its real tough  ,F Oh  uhhuh 
Uhhuh  ,C and  if I want something I will get it 
 more money , outside the one entrance that they were giving their drugs away in order to get the kids started  and so on and so on  
C And  one of the key things is how many adults are there in ratio to the children ,Laughter Oh 
yeah  laughter  ,Im a quality manager  
what difference does it make  ,C and  the wind came in from the north  
C and  you work in the office around ,I bet  
Yeah  ,It sure is 
F Uh  its really scary to listen to the news every night  and ,its kind of irritating  
 golfers  ,F Uh  I agree  
C and  it was at a camp  ,D Well  and also to make it economically feasible
F Uh  ,Laughter I found that out 
I know a lot of  it here in my state  ,I get confused between  all the   which is the Soviet provinces versus which are  the  the  Russian provinces
C and  they dont  think that  F uh  stop and think and say  D well  maybe I shouldnt do this F uh  because F uh  I might get the gas chamber or something like that  ,I havent been to a movie theater in probably eight or nine months 
  Is ,C but   I  I  still  
 C and    F uh  C and     F uh  with their nations  pretty  pretty  solidly behind each one of them ,C and  Ive them walk with me along the lakefront  
It was weird ,its just getting the time to do it laughter 
D Well     its  its   its not   its not  music  ,D Like  D you know  helping to take care of them more   And  
C But  they were wrong  ,I think all of  
  that was  that   that  might be one of my all time favorites too  ,D Well  noise the  
There is not really a lot to fight over  , C And  it very very hard  mispronounced for them to accept that 
I dont know ,I used  to live in Dallas   In Arlington actually 
No  ,I worked at a still mill in this summer  
east coast ,Laughter
They call it Mount Trashmore ,three or four years in a row 
Yeah  ,its   just a  just a  topic 
Yeah ,F Oh  really 
C but  youre excluding highlevel education ,C and  now theyre in the process of developing a list  of  of  F uh  designated doctors F uh   
D Well  D see  we dont have any  room in our prisons  ,Where about 
Uhhuh ,Uhhuh  
C And   I just  I  do not like it ,C And then  you can re freeze 
Uhhuh  ,Right 
Uhhuh , You  
Okay ,Throatclearing
 Washington  , F Uh    
Thats right ,C and  you get this funny looking coke D you know   
Thats correct  , Yeah  
 Those  those        wouldnt be a problem ,F Um   
our guys  are over there  ,Uhhuh 
Yeah ,yeah  
F Uh  God I guess I havent seen too many movies lately  ,what is the womans name  whose  us   not the mayor but the    typo should be whos
 this ,Hey  
C And   F uh  were only going down  there for the food though laughter ,Laughter
C and  I also have got a checking account besides that  ,  I dont think y  I dont think its  right to just put someone in it  
youre not pressed upon as bad ,D Well  F uh  the least  what  from whats  on the news F uh  there are very few D like  actual robberies reported F uh  F uh   of  of  residences  
D Well   its kind of  its kind of  moved up  , D You know   that some of the  benefits I would rather have F um   money  
I kno  ,D Well  another thing I think would be helpful would be to have some sort  of  of  say a national curriculum  Because one of the problems with getting good textbooks is that we have such a fragmented system for F uh  curriculums that the textbook makers produce a textbook that will sell in Texas and California  
C Because  one of my neighbors F uh   did that in Pittsburgh from Pittsburgh ,Yeah  
 its    I   I  think its   probably more embarrassing and very painful ,Okay 
D So  static , a big thing that I see   All that    most of the  most of the  women getting married now F uh   go back  have gone back to  D you know   
I guess when I was growing up  it was  it was  still the ideal to  get a  get a  home and buy house  ,uhhuh 
C but  in civil cases you have the option of whether you want a jury or not ,they do  
Yeah ,Okay  
We got it at a little bit of an incline ,Yeah 
Uhhuh  ,Each person 
F Oh  you know a lot about that ,Yeah 
Uhhuh ,F Um  I just D you know  F um   
It was wonderful ,C and  F uh  you see how  
Havent seen that , Yeah   
I think the harder way out would be to make the guys that are in there and  the guys who are trying to get in there run on more level ground childcrying ,tennis lessons 
C And  since I was just D you know  one of the office folk I guess it wasnt as important to them that they test me regularly  ,C and  you dont have to  
I dont know if they could do it or not  ,if her work or abilities start affecting her coworkers 
Uhhuh ,C so  Im a little touchy throatclearing every now and then about  that laughter 
Yeah ,Right 
They said the musics great  ,Yeah  
C And   that was  that was  not a good thing  , Uhhuh   
C and  F uh  ,Uhhuh 
D Well  I have done camping in the past  , The  the  one that I think  
Yeah  , C and   D you know  C and   P G s used to be R s  
Yeah ,   I  I    I    I  really do believe in this stuff F uh   
 F Uh   now that Randalls coming back next season I hope theyll  be  do  a little bit better  ,C but   you know  they still  
 C and   C and   sometimes  weve gone  ,Laughter
 because you wont be able to with that ,Yeah 
exactly   ,C So  I guess hes real laid back about it 
Uhhuh , F uh  people be more eager mispronounced to do it 
C So  thats where I work ,I F uh   
 and FLATLINERS   ,C and  it happened to be my friend who lives laughter a few blocks away 
 Right  , C so  that makes it very very nice  
C but  if I wasnt doing that the money wouldnt be being saved anyway D you know   ,C But  thats what happens when you get up in this area D you know  you got all these companies are up here 
F Uh  D you know   theyre a  theyre a   department store ,Uhhuh  
F Um  C but  D you know  I suppose some places  are  are  more stringent about that than others , Theres 
If youre D you know  a brick layer somebody can look and see D you know  D well    D yeah   you laid D you know  fifteen thousand bricks today  ,F Oh  I see 
Yeah  ,That memory just seeps back in my mailbox 
 my  my  first one that I got  ,Yeah 
Okay  ,One thing Ive run across pause lipsmack recently though  
F Uh  C but    its   its     its  a glorious movie  , I was  F uh  I was  so impressed with that movie  
thats a pretty good price   , C And  F uh   
D You know   D now   , C and so  they all hit D like  in the low nineties  
     I shouldnt say barrels like big   John Doors   or,I think it was better back then to  
Yeah  ,Theyre awesome 
Okay , It was   al  almost  always at least one cat  sometimes D you know  like  fifteen or twenty  But F uh  always cats in the house 
Uhhuh ,Right  
D like   F uh  its a big place  ,D So  
Yeah  ,C and  I think thats the problem that we need to address is why these people want to kill other people rather than the instrument they particularly used in the assault  
C and   now since then D you know  the closer a car is to a fiftysix Buick  the  the  more I know about it , you both got to  they were 
Uhhuh , F uh  I  
reading about these guys wearing their little    free man still suits   ,I hope you can understand what I s  laughter  
What am I afraid of ,C So  Ill probably have to sell the prize I get laughter 
D Well ,Thats true  
I just left it  ,C or  last year cough  Im F uh   belong   to a club right here  
F Uh   we  we  take books every once in a while in our Sunday school class and go through them  ,he didnt apply to any school further  
 D well   our  house was redo  F uh   ,  Is  is   is  that with seafood 
 when I   when they   were in elementary school they were  identi   identified  as being slow , Oh   
 C because ,Laughter
I had F um   ,Uhhuh 
Yeah  ,Uhhuh 
and we read in the newspaper southern part of Texas I guess ,C But  my daughter in laws  from Panama  
that was really good ,Yeah  
C and   its just the one ,yeah  
Was it to Alaska  ,We did when I was growing up  
 Uhhuh  ,Yes  
Dishes,Uhhuh 
Laughter  I  I  think a good one was F um   ,Not that the civil rights program is bad  
our two oldest boys share a room  ,my ten year old nephew says things that he is aware of that I am just going Michael
I guess it would  ,I guess I am about eight or nine laughter 
uhhuh  ,Okay  
Yeah  ,Right  
Up on blocks  laughter  ,Yeah  
   Of  in   in   in  an obscure part of the defense department ,Yes 
