Question,Answer
"{E I mean, } this is [ the, + the  ] place that we have to live.  /",Right.  / *[[slash error]]
"Yeah,  /",Uh-huh. /
Uh-huh. /,"I started a project, {A it's been over a year ago } <laughter> that I swore I was going to finish for somebody for Christmas. /"
"{C and, } -/",All right.  /
"I was born and raised [ in, + ] {F uh, } near Miami  and, {F uh, } # spent the # --","I don't know,  /"
"I'm not,  /","killed those three sheriffs deputies,  he is out free,  walking the street.  /"
it really would. /,"# a big, +  # that's a big ] thing with me.  /"
Uh-huh. /,"# th-, # -/"
"Yeah,  /","{D Yeah, }  they're ] pretty nice,  /"
"yes,  /","<<Pause>> Ju-, -- -/"
"{C and } I'm particularly interested in certain things of course, like all the news about Haiti recently --",They just --
"{F Uh, } {D well, } I don't pretend to understand that either.  /","Wow,  /"
"{C So } would I, - /",{C and then } you have to clean  it up and such.  /
{C but } they take so long.  /,<Throat_clearing> </noise>.
<Laughter> Yeah. /,"{C and, } {F uh, } we live right outside the city  /"
{C and } I really enjoyed driving  that car.  /,"{F Uh, } not anymore.  /"
yeah. /,That's right.  /
Uh-huh.  /,"{D Well, } we're working hard on it because we're fighting also in our area a large hazardous waste incinerator --"
"I don't know h-, <laughter>, -/","[ It's, +   there's ] always something to do  /"
"-- for, {F um, } just social workers in  some of the inner cities and some of the rural areas where they just need advice on medical, {F um, } things,","I understand, {F uh, } - /"
"That wasn't [ too, + too ] bad. /","-- {C but } more than that, I don't think that they have the authority to command the attention of the children. /"
"{C But, }  {F uh, } -/","{D Well, } I don't know,  /"
wanted to come. -/,"{C so } [ all the, + all we ] do is turn, - /"
Right.  /,"{C Or } [ do you, + do you ] know in Virginia [ whether it is, +  if they have ] smaller juries  /"
"[ {C and, } + <swallowing> {C and, } ] {D you know, } they get over it real quick  /","{C And, } I tell you what, [ i-, +  it's ] never failed to come out tender and juicy,"
{C and } I need to go out in the morning and run  /,Huh-uh <laughter>. /
Sure. /,Yeah. /
"I never understand, {D you know, } - /","me too,  /"
Oh. /,"{C and } I'm kind of irresponsible,  /"
"{F Oh, } a tree  ((   ))  is always  something very nice to have. /","{C but } he's seven, {F uh, }  /"
Uh-huh. /,and we were in the retail milk business  /
"# {C And } I'm # finding as I volunteer up at the school, I just, being, {F uh, } - /",{C and } they all rotate all the time --
"I'm, {F uh, } not for gun control,","I don't want a new car though,  /"
"{D Well, } [ [ most, + most, ] + most ] of the time when  you see [ bus, +  {F uh, } {D you know, } the busses ] with the diesel --","{C so, } -/"
{C And so } we've got both of those budgeted  /,"Chicago has a lot of good stations, {F uh, } /"
"-- even though there's, {F uh, } taxes on different things. /","{D actually } my house is Kosher,  /"
"it's real tough,  /","{F Oh, } uh-huh. /"
"Uh-huh,  /","{C and } if I want something, I will get it. /"
-- more money. /,"-- outside the one entrance, that they were giving their drugs away in order to get the kids started,  and so on, and so on.  /"
{C And } one of the key things is how many adults are there in ratio to the children. /,<Laughter> Oh. /
yeah  <laughter>. # /,I'm a quality manager  /
what difference does it make.  /,{C and } the wind came in from the north  /
{C and } you work in the office around. /,I bet.  /
Yeah.  /,It sure is. /
"{F Uh, } it's really scary to listen to the news every night  and --","it's kind of irritating,  /"
# golfers  /,"{F Uh, } I agree.  /"
{C and } it was at a camp.  /,"{D Well, } and also to make it economically feasible."
"{F Uh, } /",<Laughter> I found that out. /
"I know a lot of  it here in my state, - /","I get confused between [ all the, + ] which is the Soviet provinces versus which are [ the, + the ] Russian provinces,"
"{C and } they don't [ think that, + {F uh, } stop and think and say, ] {D well, } maybe I shouldn't do this, {F uh, } because, {F uh, } I might get the gas chamber or something like that.  /","I haven't been to a movie theater in probably eight or nine months, /"
"[ [ Is, +",{C but } [ I + I ] still - /
"[ {C and, } +  {F uh, } {C and,  } ]  {F uh, } with their nations [ pretty, + pretty ] solidly behind each one of them. /",{C and } I've them walk with me along the lakefront -- /
It was weird. /,it's just getting the time to do it <laughter>. /
"{D Well, } [ [ [ it's, + it's, ] + it's not, ] + it's not ] music,  /","{D Like, } {D you know, } helping to take care of them more.  [ And -- +"
{C But } they were wrong.  /,"I think all of, - /"
"[ [ that was, + that, ] + that ] might be one of my all time favorites too,  /","{D Well, } </noise> the, - /"
There is not really a lot to fight over.  /,"# {C And } it, very, very hard # <<mispronounced>> for them to accept that. /"
I don't know. /,"I used  to live in Dallas.   In Arlington, actually. /"
"No,  /",I worked at a still mill in this summer.  /
"east coast, /",<Laughter>.
They call it Mount Trashmore /,three or four years in a row. /
Yeah.  /,"it's  [ just a, + just a ] topic, /"
Yeah. /,"{F Oh, } really. /"
{C but } you're excluding high-level education. /,"{C and } now they're in the process of developing a list [ of, + of, ] {F uh, } designated doctors, {F uh, }  /"
"{D Well, } {D see, } we don't have any  room in our prisons  /",Where about? /
Uh-huh. /,"Uh-huh,  /"
"{C And } [ I just, + I ] do not like it. /",{C And then } you can re freeze. /
Uh-huh.  /,Right. /
Uh-huh. /,# You # --
Okay. /,<Throat_clearing>.
# Washington  /,# {F Uh. }  # /
That's right. /,"{C and } you get this funny looking coke, {D you know, }  /"
That's correct.  /,# Yeah. # /
"[ Those, + those ]  ((   ))  wouldn't be a problem. /",{F Um? }  /
our guys  are over there  /,Uh-huh. /
Yeah. /,yeah.  /
"{F Uh, } God, I guess I haven't seen too many movies lately.  /","what is the woman's name  whose, [ us, + ] not the mayor but the, -/   *[[typo should be who's]]"
"-- this, /","Hey,  /"
"{C And, }  {F uh, } we're only going down  there for the food, though <laughter>. /",<Laughter>.
"{C and } I also have got a checking account besides that,  /","+ [ I don't think y-, + I don't think it's ] right to just put someone in it.  /"
you're not pressed upon as bad. /,"{D Well, } {F uh, } the least, [ what, + from what's ] on the news, {F uh, } there are very few, {D like } actual robberies reported, {F uh, } {F uh, } [ of, + of ] residences.  /"
"{D Well, } [ it's kind of, + it's kind of ] moved up  /","# {D You know } # that some of the  benefits, I would rather have, {F um, } # money. # /"
"I kno-, - /","{D Well, } another thing I think would be helpful would be to have some sort [ of, + of ] say a national curriculum.  Because one of the problems with getting good textbooks is that we have such a fragmented system for, {F uh, } curriculums that the textbook makers produce a textbook that will sell in Texas and California.  /"
"{C Because } one of my neighbors, {F uh, }  did that in Pittsburgh, from Pittsburgh. /","Yeah,  /"
"[ it's +  [ I, +  I ] think it's ]  probably more embarrassing and very painful. /",Okay. /
{D So } </static>. -/,"-- a big thing that I see.  [ All that, + ] [ most of the, + most of the ] women getting married now, {F uh, } [ go back, + have gone back to, ] {D you know, } - /"
"I guess, when I was growing up, [ it was, + it was ] still the ideal to [ get a, + get a ] home and buy house,  /",uh-huh. /
{C but } in civil cases you have the option of whether you want a jury or not. /,they do.  /
Yeah. /,"Okay,  /"
We got it at a little bit of an incline. /,Yeah. /
Uh-huh.  /,Each person. /
"{F Oh, } you know a lot about that. /",Yeah. /
Uh-huh. /,"{F Um, } I just, {D you know, } {F um, } - /"
It was wonderful. /,"{C and, } {F uh, } you see how, - /"
Haven't seen that. /,"# Yeah, # -- /"
I think the harder way out would be to make the guys that are in there and  the guys who are trying to get in there run on more level ground <child_crying>. /,tennis lessons. /
"{C And } since I was just, {D you know, } one of the office folk, I guess it wasn't as important to them that they test me regularly.  /","{C and } you don't have to, - /"
I don't know if they could do it or not.  /,if her work or abilities start affecting her co-workers --
Uh-huh. /,"{C so, } I'm a little touchy <throat_clearing> every now and then about  that <laughter>. /"
Yeah. /,Right. /
"They said the music's great,  /","Yeah,  /"
"{C And } [ that was, + that was ] not a good thing,  /",# Uh-huh.  # /
"{C and, } {F uh, } -/",Uh-huh. /
"{D Well, } I have done camping in the past.  /","[ The, + the ] one that I think, - /"
"Yeah,  /","[ {C and, } + {D you know, } {C and } ] P G -s used to be R -s  /"
Yeah. /,"[ [ [ I, + I, ] +  I, ] +  I ] really do believe in this stuff, {F uh, }  /"
"# {F Uh, } # now that Randall's coming back next season, I hope they'll [ be, + do ] a little bit better.  /","{C but }  you know # they still, # -/"
"[ {C and, } + {C and } ] sometimes  we've gone  /",<Laughter>.
-- because you won't be able to with that. /,Yeah. /
exactly.  # /,{C So } I guess he's real laid back about it. /
Uh-huh. /,"-- {F uh, } people be more eager <<mispronounced>> to do it. /"
"{C So, } that's where I work. /","I, {F uh, } - /"
-- and FLATLINERS.   /,{C and } it happened to be my friend who lives <laughter> a few blocks away. /
# Right.  /,"-- {C so } that makes it very, very nice.  /"
"{C but } if I wasn't doing that the money wouldn't be being saved anyway, {D you know. }  /","{C But } that's what happens when you get up in this area, {D you know, } you got all these companies are up here, /"
"{F Uh, } {D you know, } [ they're a, + they're a  ] department store. /","Uh-huh,  /"
"{F Um, } {C but, } {D you know } I suppose some places [ are, + are ] more stringent about that than others. /","# There's, #"
"If you're, {D you know, } a brick layer, somebody can look and see, {D you know, } {D well, }   {D yeah, }  you laid, {D you know, } fifteen thousand bricks today  /","{F Oh, } I see. /"
"Yeah,  /",That memory just seeps back in my mailbox. /
"[ my, + my ] first one that I got, - /",Yeah. /
Okay.  /,"One thing I've run across, <<pause>> <lipsmack> recently though, - /"
"{F Uh, } {C but } [ [ it's, +  it's, ] +   it's ] a glorious movie -- /","[ I was, + {F uh, } I was ] so impressed with that movie  /"
that's a pretty good price #  /,"# {C And, } {F uh, } # -/"
"{D You know, } # {D now } # --","-- {C and so } they all hit {D like } in the low nineties,  /"
"((   )) , I shouldn't say barrels, like big  (( John Doors ))  or,","I think it was better back then to,  /"
Yeah.  /,They're awesome. /
Okay. /,"# It was # [ al-, + almost ] always at least one cat,  sometimes, {D you know, } like  fifteen or twenty.  But, {F uh, } always cats in the house. /"
Uh-huh. /,"Right,  /"
"{D like, }  {F uh, } it's a big place,  /","{D So, } -/"
Yeah.  /,{C and } I think that's the problem that we need to address is why these people want to kill other people rather than the instrument they particularly used in the assault -- /
"{C and, }  now since then, {D you know, } the closer a car is to a fifty-six Buick, [ the, + the ] more I know about it. /","[ you both got to, + they were --"
Uh-huh. /,"-- {F uh, } I, - /"
reading about these guys wearing their little   (( free man still suits ))  /,"I hope you can understand what I s-, # <laughter>. # -/"
What am I afraid of? /,"{C So, } I'll probably have to sell the prize I get <laughter>. /"
{D Well },"That's true,  /"
I just left it.  /,"{C or } last year <cough>  I'm, {F uh, }  belong   to a club right here.  /"
"{F Uh, } [ we, + we ] take books every once in a while in our Sunday school class and go through them.  /","he didn't apply to any school further,  /"
"-- {D well, }  our  house was redo-,  {F uh, } - /","[ [ Is, + is, ] + is ] that with seafood? /"
"[ when I, +  when they ]  were in elementary school they were [ identi-, +  identified ] as being slow. /",# Oh.  # /
"-- {C because, }",<Laughter>.
"I had, {F um, } - /",Uh-huh. /
"Yeah,  /",Uh-huh. /
"and we read in the newspaper, southern part of Texas I ((guess)) --","{C But } my daughter in law's  from Panama,  /"
that was really good. /,"Yeah,  /"
"{C and } [ it's just the one, +","yeah,  /"
Was it to Alaska?  /,We did when I was growing up.  /
# Uh-huh. # /,Yes  /
<Dishes>.,Uh-huh. /
"<Laughter> [ I, + I ] think a good one was, {F um, } - /",Not that the civil rights program is bad  /
"our two oldest boys share a room,  /","my ten year old nephew says things that he is aware of that I am just going, Michael,"
"I guess it would, - /",I guess I am about eight or nine <laughter>. /
uh-huh.  /,"Okay,  /"
"Yeah,  /","Right,  /"
Up on blocks.  <laughter>  /,"Yeah,  /"
"[ [ [ Of, + in, ] + in, ] + in ] an obscure part of the defense department. /",Yes. /
((   )) .,<Laughter>.
they're still in elementary. /,"{C and } when the fire engine was delivered the fire house wasn't big enough,  so [ they [ bo-, + bought ] a new, + {E or } built a new ] one --"
-- not that I can type very fast either  /,there's one big one that has come off  /
{C because } --,"[ It, + it's ] just the idea that there is this one spot where the white man has come by and killed a bunch a buffalo and just stripped [ its hide, + the hides. ]  /"
Oh. /,"{D Well, } needless to say, here in Washington, D C <laughter> this is the war zone.  /"
{C or } is it passed? /,Yeah.  /
Right. /,"{C but, } [ I, + I ] haven't specifically heard anything about that. /"
{C but } I know we haven't cured it yet by a long shot. /,"[ [ what, +  what would you, ] +  what [ would, +  has ] your ] experience lead you to advise, {F uh, }  if my child were thinking of going to the Air Force Academy,  /"
# Uh-huh. # /,Yes.  /
"{F Oh, } that's pretty good size.  /","you're either liberal  or you're conservative, /"
"I think [ they, + {F uh, } they ] need security  /",<Laughter>.
<Laughter> after five o'clock in the afternoon. /,"{F oh, } no,  /"
Wow. /,"# it # just, - /"
Yes. /,"It's the longest, - /"
"There, -/","{C but } it's pretty  good training, I think really, keeps her on her toes <laughter>. /"
# and # watch it like four or five times a day. /,"{C but, }  {F uh, }"
"if some people they have, - /",{C And } I guess that's all gone.  /
"(( There ))  isn't,","<Laughter> Yeah,  /"
"{D well, } that, {F uh, } - /","{E I mean } it was all right,  /"
"here about, {F uh, } what, - /","{C so } they had not much participation,  /"
"{D So, }  {F um, } yeah,  /","{C But } just by the mere fact of outlawing handguns, would make it so that it would be not as conspicuous,  /"
"getting back to your son's football practice because it really sort of astonished me that police aren't doing, - /",Yeah.  /
"{C because } [ we were, + {D you know, } we were  ] trying to make the house look nice to sell it  /",No.  /
{F Oh } yeah  /,Your parents might remember if they were here then. /
"{C and then } we get more money back, {D you know, } at the end of the year, /","{C and } the parents will tell him that there is a verse in the Bible that will help him with that,  /"
Uh-huh. /,Yeah. /
{C so } it's hard for us to get out and go to the movies.  /,"{C because, } <throat_clearing> {D you know, } if we don't want that to happen all we have to do is just call the phone company and say, look, {D you know, } I want my name unlisted or want # my, {D you know, } # -/"
Have you seen the rest? /,# Uh-huh. # /
"[ It, + it's  ] really,   s-, +  - /",{C And } we had to walk before we had a car. /
uh-huh. /,"{F Oh, } yes. /"
Hi.  /,"She always lived here in the south,  /"
Huh-uh. /,"{F um, } {C and } being a, {F uh, } a very old hippie <laughter>."
"Yes, sir. /","the Interior Minister [ of, + in ] England,"
"{C But, } {E I mean, } that's going to tend to, - /",I haven't fished in several years --
"Do you find that, {F uh, } to be boring? /",I have no idea.  /
-- # a big problem. # /,I don't think it had to do to with woman running against man.  /
we need to put restrictions on them <talking>. /,"{C But, } -/"
"was really happy to see that,  /",I think that's right. # /
"-- {C and } the question is, who was he going to pay it to? /",# <Laughter>  Yeah.  # /
<Popping>.,"no,  /"
that's neat. /,Uh-huh. /
# <Laughter> </talking>. #,"[ It's, + it's ] a [ nice, + {F uh, } relatively nice ] environment  /"
terrible.  /,"{C And, } {F uh, } I've seen what it has done in other countries  /"
"{F uh, } {C and } if you recall how it goes downtown,",# Uh-huh. # /
"[ {C and } it, + {C and } it's  ] dangerous.  /",{C But } we've had some pretty nice weather.  /
ratio of injuries ] in baseball. /,And not have any care. /
I just get aggravated about it.  /,"{C and } [ I, +  I ] have an automatic I can't drive a standard. / *[[ Why weren't the 2 indep clauses split up into separate slash units? ]]"
"<laughter>,","{C and } it's, - /"
{C so } I like to watch that  /,Right. /
"Okay,  /","[ [  Ev-, + ev-, ] + everybody ] in the world will offer you [ a, + a ] credit card. /"
"{C And then } when the ship docks, you get to go sight-seeing and shopping. /",{C and } they're making money off that. /
Goodness. /,-- just Dallas in general.  /
"{C because } they're, - /","{C and then } they go ((and say)), I'm not c-, - /"
"# {D you know } # , - /",<Sneezing> I'm sorry. /
"-- other than [ that, + ] {D you know, } those three months, when it's pure dog work --","{C and } I know everyone  {D like } in the high schools in Dallas,  /"
{C So. } - /,Oh. /
"All right,  /","I think the major thing they need to  correct is how long it takes something to get to jury, and to get to trial. /"
Uh-huh. /,Strange. /
"{D Well, } yeah,  /","{C So, } {F uh, } {D you know, }  I didn't have access to a machine the whole time I was in college. /"
"Maybe even a  little more, a day or so more than the average. /",((   ))  {C because } I didn't need it. /
{C and } that's who I work with. /,{F Oh } really. /
Uh-huh. /,I guess it was about four years ago.   /
A friend of mine is also a doctoral student down there. /,"unfortunately scallops are one of the more expensive, {F uh, } fish items. /"
"<Cough> <Throat_clearing> {C But, }  {E I mean, } I pay them gladly.  /","{F Uh, } no,  /"
"-- or like the news, because they would always have {D like } the wonderful investigative reports, {D you know, } is your kid's bus driver smoking crack,",Uh-huh. /
"{D See, } I grew up in Nebraska -- /",<Laughter>.
"# {C but } I don't get # anybody at five thirty,  don't get anybody at nine at night  /","I think that for so long power financially, uh, governmentally, every which way was in the hands of such a few --"
"Right,  /","[ {C And, } +  {C and then ] } they say, {D well, } if you give them the right to do this, then they're going to take some other right away from you,  /"
{C or } if you're going to do sport shooting  you can wait a week. /,it said the creeks will foam. /
"[  Where, + where ] are you from? /","{C And, } [ that, + to me, {D well, } that,  ] {D you know, } - /"
"[ [ I, +  + I, ] + {F uh, } I ] have modem  ((   ))  night computer  /","[ in, + in ] Plano, it's open classroom situation where they don't have walls, /"
"There were a hundred schools, probably there --","{C But, } {F uh, } <child_talking>. -/"
they get real fat. /,"{D Well, } great.  /"
{C but } <breathing> it seems to be going okay. /,Uh-huh. /
Have you tried Mother Mesquites? /,"[ {C And, } + {C and } ] we opened up [ the, + the ] hood  /"
"we're getting off the subject here a bit, /","{C but, } {F uh, } now they have what's called the World Football League  /"
Uh-huh. /,"{D So } did they scratch [ those, + {F uh, } that ] Star Wars deal, {D you know, } they one we was all worried about -- <+ the ""they"" in this sentence should probably be a ""the""+>"
"{D Well, } that's a, -/",(( {D Like } ))  Gives them a little too much power <laughter>. /
"{D Well, } I think it is, {F uh, } basically the same way.  /","and, and I #don't,#"
I come home from  work  /,"{D Well, } -/"
# it is. # /,"{C But, } {F um, } {D you know } I do think that maybe  we'll get a female next time and  just [ had her, + have her ] spayed, {D you know. }  /"
# Right # <laughter>.  /,"# [ I, + I ] would hate # to be in a position  where that was all I could afford  /"
I enjoy classical too.  /,uh-huh. # /
Yeah. /,<Noise>.
{C and } if he can't produce evidence --,It was real good talking to you. /
# or # five.  /,"have all these people being tested,  /"
"One of our favorite places here [ in, +  in ] the Dallas area is Atlantic Cafe.  /",really they could move right into the spare room <laughter>. /
-- everything. /,"{F Oh, } yeah. /"
"good,  /","<Laughter> Yeah,  /"
"and, I, I even have a tendency to do that myself.  /","I guess right now my criteria for cars is, {F uh, } [ of + ] being solid, able to take an impact <laughter> -- /"
"really weird names, {D like } The Dead Milkman, - /","I swear to God he works from eight, -/"
"We, we've had thirty some odd cars in our married life,  /","{C But, } {F uh, } -/"
-- know what we would replace it with <laughter>. /,-- of credit cards. /
"I've heard about it,  /",I can work seven  days in a row and take a week  off or whatever I want to do. /
Yeah. /,it didn't take me very long to hot foot it over to the school --
Bye. /,"{D well } it wasn't the matter of wealth,  /"
Uh-huh. /,Yeah <laughter>.  /
Yeah. /,"# Yes,  /"
"{D You know, } the Schnauzers are a little aggressive. /","{C But, } {F uh, } I have in times past gotten  into a bit of trouble with credit cards./"
"{C and, }  {F uh, } -/","[ We live, + {F um, } {D well, } I'm close ] to Salt Lake -- /"
<Laughter>  Don't you like cats? /,Yeah. /
Yeah. /,Uh-huh. /
all the little,Uh-huh.  /
"yeah,  /",Okay. /
-- and letting them know they're loved and stuff. /,"[ we're, + we're ] smarter now. /"
It's a research type project on --,"{F Oh, } yeah,  /"
"{C and} I guess I would fall more in [the, + the] realm that I like the sport issue of it,  /","{D Well } I'm glad tha-, - /"
"I had absolutely no money to my name and  bought that,  /",Yeah.  /
"<breathing> our house [ when I, + when I ]  was growing up there was almost never, {F uh, } at least one cat in the house. /","I think it has been, {F uh, }  [ four, + three or four ] years.  Or  five even, {F uh, } since they have [ had it, + ]  tried to get everybody together.  /"
"{C but } <throat_clearing> [ [ they were, + half have been professionals from, ] + {F uh, } a lot of them are from, ] {F uh, } faculty at Penn State here. /","{C So } you need, - /"
"I get tired, {F uh, } sometimes, mowing, <laughter> because we mow, {D you know, } a good bit of ground around the house area. /","{F Uh, } the ammunition is probably so old I'm afraid to use it.  /"
"I sure hope so, I tell you.  /",{C And } this time we're going to be going with just one daughter  /
{C and } that's  going to solve the whole problem. /,"Uh-huh,  /"
they know what they want  /,"{F Um, } [ I, +  I ] was taking a voice  I O class  [ and, +  {F um, } and ] actually doing some research,  /"
Uh-huh. /,# {F Oh } they come up here. # /
"Yeah,   {F Um. } /","{C and } [ I don't, + I never ] get in them and just go to the shop  at you will, {D you know. } -/"
We can't overlook the fact that there are innocent people that do get involved in jury trials. /,"{C And } one of the things we discussed was,  {D you know, }   [ [ where our, +  where   the  budget situate-, ] + how   the budget situation ] just got so out of hand. /"
"We [ got our mo-, + got our money ] back. /","I have one theory,  /"
{C so } I'm --,"{F Oh, } as a, -/"
All right.  /,-- Stanford or something like that --
What kind of movies have you been seeing lately? /,"-- {C and, } {F uh, } <noise> they had basically decided that there is going to be a real problem here within a few years on solid waste. /"
-- she wishes ] she was back at work. /,"{F oh, } I don't know.  /"
"{C because } you don't have to use so much water,  /","Yeah,  /"
"can't think of his name,  /","{C So, }  now, the only time that got  to be a problem was, if the exchange rate changed drastically. /"
"[ is come an-, + is come and ] gone  /",All the way to North Carolina.  /
"I don't know whether I have any real profound thoughts about that,  /","Yes,  /"
"# No, #  /",-- because parents aren't parents. /
"we've been asked to look at, [ is + ] most criminal cases requiring an unanimous verdict.  /",Uh-huh. /
"yeah,  /","Right,  /"
{F Huh. } /,What kind do you have now?   /
-- what ] would be more efficient about it.  /,"Then they diagnosed it,  /"
Seems like it wasn't anything but bad news <laughter>. /,"Shot a career low eighty-nine, [ {C so, } + {C and } ] my handicap is twenty nine. /"
I'm not sure how long we're supposed to talk. /,He's ] being helped.  /
-- so she doesn't remember anybody -- /,{C but } I can  run my radio in my office.  /
"{D Well, } we have a funny commercial around here.  /","Yeah,  /"
{D You know. } /,Uh-huh. /
"she had some kind of fender thing going over the back tire, I think. /","Yeah,  /"
"-- twenty years, going from, - /",It is.  /
"{C and } I know [ my, + my ] husband's uncle owns [ di-, + ] some acreage in, [ a, + ] Eastland, Texas, which is in West Texas,  /","{C but } I think, {F uh, }  we're going to have to make some fundamental changes  /"
"{C So, } I think it is communication,  /",{C but } it's running about seventy --
"{F Uh, } {D you know, } the character that, {F uh, } James Earle Jones played? /","{C and } it was, - /"
"-- and gotten a degree, spent five years out in the work force, found, {D you know, } [ [ the, + the, ] + their ] husband, either at college, or whatever,  /",# Yeah. # /
"just started trying to get [ them, + something ] together [ [ [ l-, + l-, ] + like, ] + like ]  that around here [ [ from, + for, ] + from ] the community because, {F uh, } we had a big ice storm --","{C and then } I use that for food, household expenses,  /"
I like doing things with my hands. /,"[ this, + it's ] a big engineering school  /"
"No,  /",{F uh } that's ] -/
"unless, -/",-- {C so. } -/
"I was in Germany, {D you know, } for several years -- /",{D well } thank you very much. /
"[ I, + I ] [ tried to have, +  {F um, } <laughter>,  figured something having, ]  ((   )) - /","-- # {C and so } # it helps us gain interest in the bank [ that + ] when we do it,  /"
"{F um, } let's see they start, {F um, } - /","Yeah,  /"
"[ we don't, + {D you know, } I don't ] ask for more.  /",What'd you do with them? /
Uh-huh.  /,my ] kid will do four or five hours this week for me.  /
"# {C and } they're # cedar elm,  /","{C and } it's shorting out here and there,  /"
training them would be insurmountable. /,<child_talking>.
It just keeps growing and growing  /,# Yes. # /
Yeah. /,what kind of square footage? /
"[ I think, + #","Which it's an all new cast,  but kind of the same idea,  going out to new places [ and, + and ] doing new things and finding out about different people,  /"
"It is, {F um, }  /","yes,  /"
That's right. /,"[  He, + <throat_clearing> he, ] {F uh, } gives reasonable prices. /"
"-- {F uh, } a gut level ] reaction.  /",<Laughter>.
{C but } --,"[ it's just not, +"
Right. /,"{C So, } [ we'll have to, + we'll have to ] keep our eyes on all that, I guess. /"
"{D You know, } I went to college  late on in life  /","[ I, + I ] agree.  /"
"as soon as you do it, it's really a release. /",Service charge you mean? /
{D Well } that's plenty # though. # /,{C but } I am going to stick with Downey because they were first. /
"{C So, } {F uh, } I don't know if she's any farther ahead than those kids who started when they were eight  /",You know we've had a lot of the Jewish people ... -/
"Right,  /","{F Oh, } it sure is --"
"{F Uh, } {D well, } I guess social  change takes in [ a, +  a ] big category,  /","It's more of [ a, +  {D you know, } a ] [ smaller, + <inhaling> smaller ] unit,  /"
Thanks a lot. /,"{D So, } -/"
"Yeah,  /","{C but } one thing that  [ to, +  to ] me was, {F um, } going on, stretching it a little too far was that they also check,  {F um, } if you are taking somebody else's prescription drug.  /"
"{C So, } yeah,  /",-- applied. /
it'd be good  /,"{F Um, } {F oh, } it's [ a, + {D like } a ] huge amusement park --"
"{C and, } {F uh, } my husband, [ was, +  was, ] - /",Yeah. /
"# started out # all men and then  in the nineteenth century, began to have women.   /","[ we, + we ] all carry them,  /"
"[ I saw, + I saw ] a guy,  /","It's basically anything that's south of downtown, they don't bother to cover. /"
Uh-huh. /,"Such as offering [ a, + a ] smorgasbord.   Having a larger variety of benefits  /"
Uh-huh. /,"I think one of the problems [ with, + with ] education as it relates to this, though, is that I don't know that education is prepared to help people make those changes. /"
-- {C and } I don't know how many  others are doing that  /,"{C And, } {E I mean, } I have some of the most beautiful day lilies that you've ever seen.  /"
-- carnival ] or circus  /,seems like he went to school at {D like } DeVry.  /
{C and } I was having my hair cut -- /,"{C But, } {F uh, } [ the, + ]  one of the major problems that Dallas has is oxides and nitrogen.  /"
"and we were going to be meeting some of my wife's relatives down there,  /","I said, We're going to have a ham. /"
"Right,  /","# You know it's, # -/"
-- # I have a lot of # friends that like country music <laughter>. /,"said, he took me by the head and dunked my head under the water --"
"{C and  so }  he's, {F uh, } been the one that you know spent the most time with him. /",((   )) .
# Uh-huh. # /,"you too,  /"
I see. /,"{F Uh, } I think they should have more programs like that. /"
"# blow # horns, {F oh, }  /","They say what aspect are you worried about,  /"
I'm still here.  /,"{C So } [ we're not utilizing, + we're,  ] - /"
"{D Well, } there's someone at the door  /","{C and, }  {F uh, } I just won't do it.  /"
# Yeah. # /,"{C And, } {D you know, } [ that's going to, + that's going to ] affect the people that are having kids in school, of course, which is probably the only fair thing to do.  /"
[ {C and } + <noise> --,"{F Oh, } except the kid,  /"
"On that same topic, have you  ever read anything about, {D you know, } the Amelia Earhart story, whatever happened with her? /","# that's, ] [ # because, +  [ I, +  I ] guess,  because ] I'm not into territorialism or  whatever, that we have been in the past. /"
"I guess they do that so they don't get scooped, {D you know, }  /","--  {F uh, } never did get out and ski <laughter>. /"
"{C So } I'm going,  /","{C and } from that built, {D you know, }  a cash budget.  /"
"{C And, } {F uh, } there I would say it's the same thing.  /","{D like } a carbon fuel of some sort,  /"
# Yes.  # /,"{C and } I had a chance to, {F uh, } transfer up.  /"
Yeah. /,"{F Oh, } okay,  /"
"{F uh, }","{D Well } I thank you for calling,  /"
"{F Oh, } I didn't hear it.  /",Bye-bye. /
Yeah. /,Yeah. /
they'll pay a little bit more --,"<laughter> Yeah,  /"
{C But } one day I was talking to a lady about gardening  /,"[ [ I, + I've, ] + I've ] paid off about four credit cards this year. /"
"And there's, there's a sad joke.  /",Uh-huh. /
"With our first boy, we persuaded him to start here,  /",Right. /
"I read, HOW TO GET THE JOB THAT YOU WANTED  /","{F Oh, } really. /"
I'm not that familiar.  /,"Haven't been there,  /"
"-- {C and } it's so simple, because  I can pop it in when I come in the door, {D you know, } and then, {F uh, }  go about my business,  /","[ I should, + I should ] have, {F um, } delineated, - /"
Okay. /,"{F Oh, } if you had it early. /"
"Right,  /","{F Oh, } that's a neat idea. /"
"{D Well, } I'll tell you, the only reason [ I bought the, +  {F uh, } I subscribe to the ] JOURNAL is because of, - /","{C And, }  {F uh, } I have a little sports car that I enjoy using  /"
I have seen my family age. /,{C and } my husband's parents were really avid campers as well.  /
"{F Oh, } really?  /","{C But } they're doing a lot of  research here, {F uh, } the E P A /"
"-- {C and } they have on the ba-, {A it's five cents, } that they pay five cents  -- /",My mother-in-law finally.  /
"# {F Oh, } he was, #",Uh-huh. /
just some of them are known  /,I went to the gym every day  /
"# and # the nine hundred dollar toilet seats doesn't come from people in the industry,  /",If you let them cook too long --
